Date,Open,High,Low,Close,Adj Close,Volume
6/18/1998,27.15625,27.28125,26.5625,27.25,14.888171,1768600
6/19/1998,27.15625,27.15625,25.625,25.8125,14.102783,4973000
6/22/1998,25.96875,26.65625,25.96875,26.4375,14.444258,3035800
6/23/1998,26.4375,26.96875,26.09375,26.40625,14.427189,1768600
6/24/1998,26.40625,27.125,26.375,27,14.75158,2027000
6/25/1998,26.90625,26.90625,26.03125,26.3125,14.37596,2901000
6/26/1998,26.3125,26.75,26,26.5,14.478404,1858400
6/29/1998,26.5,26.75,25.9375,26.1875,14.307672,2533400
6/30/1998,26.21875,26.75,26.21875,26.453125,14.45279,3540000
7/1/1998,26.5625,27.1875,26.5625,26.96875,14.734511,2936000
7/2/1998,26.96875,27.15625,26.5625,27.0625,14.785727,2184200
7/6/1998,27.0625,27.34375,26.75,27.15625,14.836946,3387000
7/7/1998,27.15625,27.25,26.875,27,14.75158,1626400
7/8/1998,27,27.15625,26.8125,26.9375,14.717437,1741000
7/9/1998,26.875,26.875,25.625,26.0625,14.239373,4277800
7/10/1998,26.0625,26.28125,25.78125,26.28125,14.358887,2427000
7/13/1998,26.28125,26.46875,25.90625,26.0625,14.239373,1387800
7/14/1998,26.40625,28.1875,26.40625,28.125,15.366236,4574000
7/15/1998,27.71875,27.71875,25.5625,26,14.205229,10785400
7/16/1998,26.09375,26.59375,26.09375,26.59375,14.61394,4556200
7/17/1998,26.59375,26.84375,26.15625,26.59375,14.61394,4071000
7/20/1998,26.59375,27.09375,26.21875,26.75,14.699799,2620000
7/21/1998,26.75,27,26,26.5,14.562419,4961600
7/22/1998,26.4375,26.4375,25.78125,25.875,14.218966,3209800
7/23/1998,25.875,26.15625,24.84375,25.0625,13.772473,3155400
7/24/1998,25.0625,25.25,24.53125,24.59375,13.514888,3483000
7/27/1998,24.4375,24.4375,23.96875,24.4375,13.42902,3075000
7/28/1998,24.4375,24.71875,23.96875,24.40625,13.411847,2502200
7/29/1998,24.40625,24.75,24,24.53125,13.480543,2047400
7/30/1998,24.625,25.125,24.625,25.03125,13.755311,2305400
7/31/1998,25.03125,25.09375,24.0625,24.25,13.325994,5211400
8/3/1998,24.3125,24.875,24.3125,24.65625,13.549232,3488600
8/4/1998,24.65625,24.9375,23.4375,23.625,12.982528,4967400
8/5/1998,23.625,23.75,22.96875,23.5625,12.948189,3610000
8/6/1998,23.5625,23.625,23.1875,23.5,12.913844,2695800
8/7/1998,23.53125,24.03125,23.53125,23.75,13.051229,2527200
8/10/1998,23.75,24.03125,23.53125,23.65625,12.999707,1671000
8/11/1998,23.65625,23.8125,23.03125,23.78125,13.068398,3559200
8/12/1998,23.78125,24.21875,23.5,24.1875,13.29164,2022200
8/13/1998,24.1875,24.71875,23.84375,24.375,13.39468,1594800
8/14/1998,24.375,24.78125,24.0625,24.1875,13.29164,2400200
8/17/1998,24.1875,24.78125,23.90625,24.625,13.532059,2325600
8/18/1998,24.65625,25.25,24.65625,25.25,13.875512,2392800
8/19/1998,25.25,25.34375,24.59375,24.9375,13.703788,2308600
8/20/1998,24.9375,24.9375,23.9375,24.21875,13.308812,2550800
8/21/1998,24,24,23.125,23.6875,13.016873,3232600
8/24/1998,23.6875,24.46875,23.5625,24.46875,13.446194,2564400
8/25/1998,24.46875,24.625,23.75,23.9375,13.154263,1698600
8/26/1998,23.71875,23.71875,23.125,23.28125,12.793641,3676800
8/27/1998,22.75,22.75,22.15625,22.3125,12.261284,3487400
8/28/1998,22.3125,22.875,21.84375,22,12.089553,3277400
8/31/1998,22,22.59375,20.96875,21,11.540031,3216800
9/1/1998,21.375,23.03125,21.375,22.9375,12.604737,4602600
9/2/1998,22.9375,23.46875,22.6875,22.875,12.57039,4058000
9/3/1998,22.75,22.75,22.09375,22.4375,12.329971,3169000
9/4/1998,22.4375,23,22.21875,22.96875,12.621906,3318200
9/8/1998,23.375,24.75,23.375,24.59375,13.514888,4779600
9/9/1998,24.59375,24.625,23.4375,24.09375,13.240131,3604200
9/10/1998,23.5,23.5,22.65625,23,12.639084,4653400
9/11/1998,23,23.21875,22.125,22.625,12.433008,4181200
9/14/1998,22.625,23.375,22.5,22.6875,12.467352,3292000
9/15/1998,22.71875,23.75,22.71875,23,12.639084,3824600
9/16/1998,23,23.4375,22.3125,22.625,12.433008,3977800
9/17/1998,22.625,22.625,21.3125,21.375,11.746109,4376400
9/18/1998,21.375,21.6875,19.75,20.125,11.059198,7918600
9/21/1998,20.125,21.53125,19.53125,21.28125,11.694588,4083800
9/22/1998,21.28125,21.71875,20.90625,21.0625,11.574371,3105200
9/23/1998,21.3125,22.78125,21.3125,22.65625,12.450183,3763400
9/24/1998,22.65625,23.5625,22.625,23.0625,12.673426,5724800
9/25/1998,23.0625,23.46875,22.8125,23.46875,12.896672,4899800
9/28/1998,23.46875,24.5,23.28125,24.3125,13.36033,4998600
9/29/1998,24.3125,24.75,23.34375,23.65625,12.999707,3707200
9/30/1998,23.5,23.5,21.8125,22.25,12.226939,3615400
10/1/1998,22.25,22.875,21.53125,21.96875,12.072388,3498200
10/2/1998,22.0625,22.78125,22.0625,22.5,12.364318,3459400
10/5/1998,22.5,22.5,21,21.84375,12.003692,2650600
10/6/1998,21.84375,22.28125,21.28125,21.40625,11.763271,2728200
10/7/1998,21.40625,22.4375,21.3125,21.875,12.020863,3550400
10/8/1998,21.875,22.75,20.96875,22.5,12.364318,4789600
10/9/1998,22.5,23.96875,22.5,23.375,12.845155,3726400
10/12/1998,23.65625,24.46875,23.65625,23.875,13.119918,2707600
10/13/1998,23.875,24.09375,23.1875,23.625,12.982528,2659000
10/14/1998,23.34375,23.34375,22.34375,23,12.639084,4817800
10/15/1998,23,24.0625,22.1875,24,13.18861,5769600
10/16/1998,23.90625,23.90625,23,23.5,12.913844,6261200
10/19/1998,23.5,24.4375,22.9375,23.84375,13.102747,4327800
10/20/1998,23.84375,24.46875,23.59375,24.25,13.325994,4696400
10/21/1998,24.25,24.3125,23.0625,23.9375,13.154263,3779600
10/22/1998,23.875,23.875,22.8125,23.625,13.064395,3093400
10/23/1998,23.625,23.875,23.25,23.53125,13.012552,2427200
10/26/1998,23.53125,23.71875,22.84375,22.9375,12.68422,2289600
10/27/1998,22.9375,23.3125,22.5,22.625,12.511407,3144600
10/28/1998,22.625,22.65625,21.8125,21.8125,12.062101,2689600
10/29/1998,21.8125,22.09375,21.34375,22.03125,12.183062,3968000
10/30/1998,22.3125,23.09375,22.3125,22.46875,12.425005,3154200
11/2/1998,23,23.6875,23,23.5,12.995275,3439000
11/3/1998,23.5,24,23.5,23.84375,13.185369,3374200
11/4/1998,24,25,24,24.9375,13.790203,4740000
11/5/1998,24.9375,25.0625,24.09375,24.90625,13.772916,3684200
11/6/1998,24.625,24.625,24.03125,24.625,13.617391,2767200
11/9/1998,24.625,24.8125,23.9375,24.21875,13.392736,2368600
11/10/1998,24.21875,24.53125,23.5,24.03125,13.289055,3285200
11/11/1998,24.03125,24.03125,22.53125,22.71875,12.563251,4750800
11/12/1998,22.71875,23.15625,22.71875,22.875,12.649655,3833000
11/13/1998,23.125,23.75,23.125,23.75,13.133527,3638400
11/16/1998,23.75,24.46875,23.625,24.40625,13.496423,4023800
11/17/1998,24.40625,24.75,24.1875,24.59375,13.60011,3274000
11/18/1998,24.28125,24.28125,23.8125,24,13.271777,3258400
11/19/1998,24,24.40625,23.6875,23.90625,13.219924,2143000
11/20/1998,23.90625,24.5,23.90625,24.4375,13.513704,2407800
11/23/1998,24.4375,25.125,24.375,25.125,13.893888,3708800
11/24/1998,25.09375,25.09375,24.8125,25.03125,13.842048,2805800
11/25/1998,25,25,24.5625,24.96875,13.807483,1939800
11/27/1998,24.96875,25.09375,24.6875,24.8125,13.721073,612400
11/30/1998,24.8125,25,24.28125,24.71875,13.669233,3785400
12/1/1998,24.71875,26.09375,24.625,25.96875,14.360472,6286000
12/2/1998,25.9375,25.9375,25.09375,25.34375,14.014852,3948200
12/3/1998,25.34375,25.34375,24.875,24.96875,13.807483,2516000
12/4/1998,24.96875,25.28125,24.09375,24.375,13.479139,3373400
12/7/1998,24.375,24.75,24.1875,24.59375,13.60011,2527200
12/8/1998,24.59375,24.59375,23.96875,24.34375,13.461861,2552000
12/9/1998,24.34375,24.53125,23.78125,24,13.271777,2194400
12/10/1998,24,24.09375,23.25,23.53125,13.012552,3024400
12/11/1998,23.5,23.5,22.84375,23.3125,12.891592,2519200
12/14/1998,23.3125,23.625,23,23.125,12.787907,2094200
12/15/1998,22.46875,22.46875,21.90625,22.21875,12.286753,4338200
12/16/1998,22.21875,22.3125,20.6875,20.6875,11.43999,7024600
12/17/1998,20.6875,21.28125,20.5625,20.5625,11.37087,5984200
12/18/1998,20.5625,20.96875,20.5625,20.9375,11.57824,5580400
12/21/1998,21,21.5,21,21.125,11.681921,3969800
12/22/1998,21.125,21.25,20.84375,21.15625,11.699203,2795600
12/23/1998,21.15625,21.3125,20.96875,21.28125,11.768332,3225000
12/24/1998,21.3125,21.59375,21.3125,21.46875,11.872016,1888200
12/28/1998,21.90625,22.53125,21.90625,22.46875,12.425005,3818600
12/29/1998,22.46875,22.90625,22,22.8125,12.615093,2905200
12/30/1998,22.8125,23.03125,22.5,22.84375,12.632379,2423600
12/31/1998,23,23.9375,23,23,12.718784,4147400
1/4/1999,23.28125,24,23.28125,23.6875,13.098957,6512000
1/5/1999,23.6875,23.96875,23.03125,23.625,13.064395,5082800
1/6/1999,23.78125,24.34375,23.78125,24.25,13.410025,5295200
1/7/1999,24.25,24.6875,24,24.46875,13.530981,4114600
1/8/1999,24.75,25.625,24.75,25.5,14.101261,5327000
1/11/1999,25.5,26.5,25.46875,26.5,14.65425,6111800
1/12/1999,26.25,26.25,24.9375,25.3125,13.997565,7582200
1/13/1999,25,25,24,24.03125,13.289055,5463800
1/14/1999,24.03125,24.21875,23,23.375,12.926153,4447000
1/15/1999,23.4375,23.84375,23.4375,23.78125,13.235732,2539000
1/19/1999,23.78125,24.15625,22.8125,22.96875,12.783532,3326800
1/20/1999,22.96875,23.28125,22.59375,22.59375,12.574821,3435800
1/21/1999,22.59375,22.71875,22.09375,22.4375,12.48786,2991400
1/22/1999,22.3125,22.3125,21.6875,21.96875,12.226975,3782000
1/25/1999,21.96875,22.4375,21.96875,22.28125,12.400895,2426000
1/26/1999,22.28125,22.59375,22.21875,22.5625,12.557427,3042400
1/27/1999,22.5625,22.84375,22.15625,22.34375,12.435686,2277200
1/28/1999,22.34375,22.375,21.9375,22.25,12.383505,2088800
1/29/1999,22.25,22.34375,21.53125,21.65625,12.053047,2997000
2/1/1999,21.71875,22.25,21.71875,21.84375,12.157402,3201000
2/2/1999,21.84375,22,21.59375,21.65625,12.053047,2431800
2/3/1999,21.65625,21.78125,21,21.5625,12.000865,4714600
2/4/1999,21.5625,22.5,21.375,22.0625,12.279152,3681600
2/5/1999,22.25,23.375,22.25,23.125,12.870496,4897200
2/8/1999,23.125,23.65625,22.875,23.625,13.148772,3299600
2/9/1999,23.625,24.25,23.09375,23.25,12.940064,3465000
2/10/1999,23.25,23.4375,22.75,22.96875,12.783532,3245600
2/11/1999,22.9375,22.9375,22.5,22.78125,12.679179,2385200
2/12/1999,22.78125,23.21875,22.34375,22.40625,12.470467,2109200
2/16/1999,22.40625,22.90625,22.25,22.625,12.592209,2712800
2/17/1999,22.625,22.96875,22.21875,22.875,12.731355,3110400
2/18/1999,22.875,23.1875,22.1875,22.40625,12.470467,2642600
2/19/1999,22.40625,22.90625,22.40625,22.53125,12.54004,1995600
2/22/1999,22.53125,23.25,22.375,23.25,12.940064,2216200
2/23/1999,23.25,23.53125,23.0625,23.46875,13.061816,2200200
2/24/1999,23.40625,23.40625,22.8125,23,12.800928,2695200
2/25/1999,22.9375,22.9375,22.53125,22.84375,12.713967,1956000
2/26/1999,22.84375,23.3125,22.6875,22.78125,12.679179,1770200
3/1/1999,23.25,24.59375,23.25,24.59375,13.687943,4672800
3/2/1999,24.59375,24.6875,23.40625,23.71875,13.200951,3723400
3/3/1999,23.71875,23.84375,23.25,23.625,13.148772,1901200
3/4/1999,23.625,24,23.5,23.96875,13.340095,2365000
3/5/1999,24.15625,25,24.15625,24.9375,13.879261,3885800
3/8/1999,24.9375,25,24.09375,24.8125,13.809697,3304800
3/9/1999,24.78125,24.78125,24.1875,24.40625,13.58359,2838400
3/10/1999,24.40625,24.90625,24.21875,24.5,13.635772,1653400
3/11/1999,24.875,25.4375,24.875,25.4375,14.157541,3693000
3/12/1999,23.75,23.75,22.3125,22.34375,12.435686,8484200
3/15/1999,22.375,22.78125,22.375,22.71875,12.64439,4037600
3/16/1999,22.4375,22.4375,21.9375,22,12.244365,4344400
3/17/1999,23,23.625,23,23.625,13.148772,6098600
3/18/1999,23.5,23.5,22.96875,23.40625,13.027023,4334800
3/19/1999,23.40625,23.875,23.3125,23.40625,13.027023,3062800
3/22/1999,23.40625,23.6875,23.28125,23.46875,13.061816,1260600
3/23/1999,23.46875,23.46875,22.5,22.5625,12.557427,2888800
