Date,Twitter Profile,Followers,Net Follower Growth,Following,Net Following Growth,Published Posts,Impressions,Video Views,Engagements,Likes,@Replies,Retweets,Post Link Clicks,Other Post Clicks,Other Engagements,Engagement Rate (per Impression)
02-04-2018,@kumandgo,,,,,2,"1,261",76,49,6,0,0,1,42,0,3.9%
02-05-2018,@kumandgo,,,,,5,"1,564",37,179,27,-1,2,0,151,0,11.4%
02-06-2018,@kumandgo,,,,,3,"1,213",8,66,7,2,1,0,56,0,5.4%
02-07-2018,@kumandgo,,,,,3,"1,077",11,24,3,1,0,0,20,0,2.2%
02-08-2018,@kumandgo,,,,,2,"2,328",8,14,2,0,0,0,12,0,0.6%
02-09-2018,@kumandgo,,,,,8,"4,222",13,47,7,2,1,0,37,0,1.1%
02-10-2018,@kumandgo,,,,,0,"1,623",3,11,2,0,0,1,8,0,0.7%
02-11-2018,@kumandgo,,,,,0,504,1,3,0,0,0,0,3,0,0.6%
02-12-2018,@kumandgo,,,,,8,"1,858",5,63,9,0,2,0,52,0,3.4%
02-13-2018,@kumandgo,,,,,5,"2,813",6,53,12,1,1,0,39,0,1.9%
